Name,Date,Content
jonathanlamkengyeen,2023-Nov-09 12:54:12,Portability:easy to carry and also great build design - its a modern device for a handheld fan which can double as a mini fan (with stand) / hair dryer / dust blower Performance:strong wind but need abit of distance to feel the gust of wind  A good product that seems to be build with good material and the wind generated is stronger than any of those mini plastic fan
l*****g,2023-Dec-23 16:51:56,Performance:Ultra Strong Portability:Amazing  Received in good conditions and performs really strong. This is the best ultra product I've ever used. Highly recommended this ultra product.
corepitt,2024-Jan-22 18:41:39,Portability:Easy to carry Performance:Superb & Powerfull wind  Solid build & premium … Sedap pegang ..rasa padat je cuma berat skit … Angin blow sgt kuat 💨.. Bunyi kuat skit bila naikkan speed … Fast delivery … Seminggu da smpai dari 🇨🇳
pokjapoksoh,2023-Oct-03 12:34:07,"Performance:mmg terbaik, kuat nk mampus angin Portability:sedikit berat  Penghantaran mengambil masa lbh kurg 13hari, ok la dr China kan... portable fan ni mmg kuat anginnya, nk keringkan rambut pun boleh, blh adjust speed, batt percentage, ambient light"
s*****5,2023-Dec-25 15:13:53,"Performance:powerful!!! Portability:slightly heavy for me  so happy with the purchase. from the box, device, and accessories. suitable for gift since the box really presentable and looks premium."
h*****u,2023-Nov-14 08:24:46,"Portability:very good Performance:good  Item sampai dalam keadaan sempurna dan lengkap.prestasi angin untuk perbandingan,kica 2.0 lebih kuat ya berbanding jisulife,cuma kelebihan jisulife,battery kapasiti super besar dan boleh beroperasi pada tahap 100% dalam jangkamasa yang lama.kica ada cut off timer utk kelajuan 100%.puas hati walaupun size hampir sama,tapi size battery jisu beberapa kali ganda lebih besar 👍"
silverlions,2023-Nov-30 07:12:30,Performance:Baik Portability:Mantap  Terima kasih seller.. Penghantaran pun pantas dari China.. Kualiti terbaik seperti yang diiklankan.. Harga berpatutan dan lebih murah berbanding dengan seller2 lain.. Rekomen kepada buyer lain untuk beli disini.. Terima kasih seller.. 🌟👍🌟👍🌟👍🌟👍🌟👍🌟💥💥💥
afizan96,2023-Oct-18 14:16:29,"terbaik sangat barang ni , kipas kuat bunyi nya x kuat sgt , batery besar ,  berkualiti sgt brg ni , penghantaran bagus!!! tak terlalu lama 👍🏻👍🏻👍🏻👍🏻"
n*****2,2024-Jan-10 12:24:34,"The item is good, the item working well, the packaging was superb.Good value for money.Fast delivery.Excellent service by seller. All item is complete even many type of item."
dandroid84,2023-Dec-21 08:07:04,Portability:good easy to carry Performance:very strong  Delivery quite fast. Bought during shocking sale and after using voucher only paid 248! Good deal as the previous model 1s is still 199 after discount. This model far superior and got extra Accesories to clean car or keyboard/pc stuff. Must buy item for 2023 if you love traveling 🧳
cikmirayaya,2023-Nov-23 05:51:55,Portability:Very convenient Performance:Great and amazing  Received item in good condition and well-packed. Good product quality with affordable price. Keep it up the good work! 👍🏻
k*****a,2023-Nov-15 11:17:30,"Portability:Very compact Performance:Awesome  The fan is really powerful, just like how they advertised it & other’s review. I hv tried to dry my hair, blow dust inside my car & it worked magic! ✨"
syasan90,2024-Mar-20 08:35:04,Performance:good Portability:heavy a bit  Premium feeling and expensive look Quality very sturdy exactly kipas kayangan Sound as in the video veryyy loud yet satisfied with the wind blown.. TᖺᗩnḰ Ꭹᗢu seller
rahmanbahrim,2023-Oct-17 03:54:26,"Portability:very portable Performance:excelent for small fan  For this small size, its very good, suitable for small table fan, with accesories it can use for photo shoot small wind blowing effect ( with holder)  , small keyboard cleaner , bbq fire booster, small hair dryer,  very fast shipping responce too"
m*****3,2024-Feb-19 04:20:20,Portability:terbaikk Performance:mantap  Terbaikk sangat fan ni .. boleh jadi hairdryer also untuk camping nanti .. saya suka sangat .. terima kasih seller .. kerana wrap dengan baik .. barang sampai dengan sempurna nya .. saya beri lima bintang ..
garyglk,2024-Feb-23 10:53:17,"Portability:slightly heavy than I thought, but still consider easy to hold Performance:strong wind blow power consider its compact size  Packaging and the build quality are premium."
n*****e,2024-Mar-12 10:01:37,Performance:superb kuat!  Penghantaran pun laju juga blm try kat luar lagi  bunyi ok rasanya klo kt luar dlm rumah dgr agak nyaring bunyi kipas metal kan..berat juga tpi msih blh bwa jalan2.. overall ok👍👍
brenvon1978,2024-Feb-28 02:02:04,"Performance:Powerful fan, nice to hold with nice packaging Portability:Led indicator with battery status and fan speed. Use for many purpose  Tq seller with this amazing product. Such a small device can produce amazing fan speed. Just a little noise when reach 100% speed. Need to be careful not to point to eyes.. Keep away from children who thought this is a toy.. It is very powerful wind it produces. Lastly, speedy delivery"
wong94sp,2024-Mar-11 06:59:30,"Performance:Good Portability:Good  Built quality good. Most importantly, the unparalleled after-sales service. Instant compensation after a faculty one. And they even contacted me for the follow-up. Highly appreciated the effort, responsible, effective, and friendly.  P.S.: Could not remove the previous rating due to Shopee restrictions. Feeling bad for leaving a low rating for such a good seller."
a*****z,2024-Feb-20 01:08:34,"Portability:okay Performance:very nice  Barang dr china and ambil masa almost seminggu juga untuk sampai, item diterima dalam keadaan yang baik dan berfungsi dgn baik, tQ So, satisfied with the product..."
a*****u,2023-Dec-28 08:31:13,Performance:very satisfied with the fan performance but a bit noisy as compare to my other portable fan. I intended to use it as a portable blower for my works. Portability:compact and powerful blowing power. Good for outdoor activities or work.  Just hope that seller can give longer warranty period.
w*****7,2024-Jan-12 13:27:02,"Portability:small and powerful. good quality Performance:beyond my expectation as a small portable fan.  On top of what i had mentioned, this fan is fantastic. Every time i'm holding the fan will make me feel comfortable and cooling"
azam0606,2023-Nov-23 02:37:48,"Performance:anging kuat Portability:sangat mudah dibawa  Puas hati guna...angin kuat, walaupun setting speed 1% dapat rasa anging...kalau setting 100% lqgi laju....cuma bunyi bedesing tu kuat sikit la"
jumpstat,2024-Feb-26 06:40:03,"Damn this little fan can really push alot of air. Glad I opted for the flagship model as it looks great nice to the touch and performs very well. The power wheel and oled lcd does provide best interface between gadget and human. The power wheel is effortless and I belief, this is most helpful where you are are attending wedding receptions and such where this tool will be most helpful. As for the weight, it is heavy mostly due to 9000 mAh battery but the form factor is still compared to most other personal coolers out there. 100% power you can feel the breeze even 8m away. Packing is good box within a box with appropriate packing materials. Recommended."
h*****i,2024-Mar-04 19:56:33,"Portability:bagus, compact. Size kecik yang senang untuk dipegang Performance:tahan berjam  Produk ni sangat bagus berbanding kipas angin di luar sana. Bateri pon tahan berjam. Saya pkai dalam masa 2jam bru habis 11% bateri. Guna speed 20sahaja. Tapi kalau pakai speed lagi kuat, makin cepat bateri habis. Untuk cuaca malaysia yang panas sekarang ni, pembelian yang sangat berbaloi. Bentuk size kecik. Comfortable untuk digenggam & berat sikit."
syawalaiwal,2023-Nov-18 16:12:33,"Portability:small and premium Performance:superb. Extremly powerful fan motor  For something small, this fans very powerful. Feel premium."
magicmikey,2023-Oct-18 23:02:55,"Performance:hell yeah baby Portability:a bit heavy  Delivery was fast. I tried the fan, and it was AAMMMAAZINGGG. The 100% speed can last for 30 minutes. The battery charges quite fast. Was blown away by how powerful the fan is. Its like a mini pocket jet that blasting to your face. Quite expensive but its worth every penny"
mubbmisy1368,2023-Dec-06 11:35:33,Portability:fantastic Performance:superb  Im impress of the output wind produce by this gadget.. easily can beat other fan.. satisfied and recommended..
86lby,2024-Mar-22 10:44:43,"There is no problem with the goods, the quality is very good, but the courier service is really bad. They left it directly at the door of the store without any notice. I am really disappointed with this courier. If it was stolen by someone else, should the courier have to compensate me！"
wafimall,2023-Oct-03 11:21:06,"penghantaran pantas. kipas memang super laju gila. sekarang ni kalau nk beli handle fan, memang cari brand jisulife ja. trusted brand."
a*****n,2024-Mar-21 11:39:09,"Performance:nice 👍🏻 item Portability:not heavy, very light & portable.. Ezy carry everywhere"
faries246,2024-Jan-03 01:22:08,Performance:sangat berpuas hati beli dengan pelbagai potongan baucher Portability:kipas paling mudah alih
bennethilary,2023-Dec-23 06:26:51,Performance:its powerfull Portability:Good  I love it. It’s Christmas present for my self. Very good qualtiy
teckling83,2023-Oct-26 11:47:00,Good product worth supporting  The new stuff is quite useful
chuochungnang,2024-Jan-01 01:57:33,"Performance:Good 👍👍👍 Portability:Good 👍👍👍  Fast delivery, Good product quality, Good value for money."
f*****6,2023-Oct-10 13:02:10,Thanks for the best product. Easy to carry and use. Buat if u can explain about rear button much batter for what 🤣 idk
mdazizi88,2023-Dec-21 06:45:34,Portability:ok Performance:ok  penghantaran sgt pantas & produk sgt baik dan boleh digunakan
z*****a,2024-Jan-10 18:03:16,Performance:Great Portability:The best👍🏻  Well packed & received in good condition. Bought it as a surprise gift for our son. 😊
i*****n,2023-Dec-04 04:53:22,Performance:good Portability:muat poket  Bateri terbaik. Kalau guna speed bawah 50 boleh tahan seminggu. Buka 100 tahan 30 min je
a*****t,2024-Mar-19 07:30:45,Portability:biase² je  biase² je kipas ni. bunyi bising angin pun xde la kuat sampai boleh boleh jadi hair dryer ke
f*****2,2023-Nov-18 06:05:43,Portability:ok Performance:ok  Fast delivery. Received in good condition. 1st time buy the item.
tanyixiang1990,2023-Dec-18 12:18:13,Portability:good Performance:strong wind  Super high build quality! U wont regret it👍
k*****9,2024-Mar-13 15:56:21,"Nice packing and fast delivery 👍👍👍 reasonable price, recommend to all."
mnasimalfreadna,2024-Jan-19 03:44:34,Portability:good Performance:good  Durability battery and fan very good. Charger faster 0-100.. I try mid range power got 4hrs non stop
ridzwan7,2024-Mar-23 15:37:36,Performance:great performance Portability:high portability  Great product and fast shipping from china (even faster than locally shipped product)
hasrulnizam84,2023-Oct-13 04:18:15,Fast delivery..... the quality feel so good... fan sgt kuat....tq seller
nursalam92,2024-Feb-11 09:26:47,"penghantaran yang agak laju dari china , 4 hari , memang sangat berkualiti angin memang kuat. material dari besi berkualiti dan premium"
f*****n,2024-Feb-23 04:27:02,"Portability:easy to carry , really small footprint Performance:powerful fan  Worth it. Battery can hold up really well.  Seller fast response"
wacai81,2024-Mar-12 00:33:02,Portability:superb Performance:extreme very good  Very superb device..built with top notch quality..very happy with this fan..
u*****f,2024-Feb-18 21:50:19,"Portability:Good Performance:Nice  Good and premium product, strong wind, easy to use, worth the price."
z*****g,2024-Mar-01 03:29:15,Nice item and nice packaging Will buy it again  Worth the price
a*****d,2024-Feb-10 04:52:20,Performance:terbaik Portability:ok  Tq seller.penghantaran pantas.sesuai untuk digunakan pada keadaan  sekarang.terbaik.tq very much.ok.
kerabat_93,2024-Mar-10 12:48:44,"Performance:barang puashati ,no satu pun sejuk macam aircond .serius padu benda kecik ni.haha  courier very bad .dont use courier same again.very bad ,late ."
qiee77,2023-Oct-13 13:30:06,Superb. Angin kuat giler. Macam mini jet engine. Kualiti padu. Kemas n cantik.  Puas hati. Harga mmg keras tapi padan.
m*****s,2023-Nov-16 07:10:47,Portability:Small and easily carried around. Performance:Powerful for such a small blower.  Thanks for the free gift!
amanrizan,2024-Mar-01 08:36:11,Performance:mantap Portability:sgat portable..tak berat sgat pun..just nice  Sangat ssuai buat as a gift
aimaniqbal1,2023-Dec-20 06:12:39,Performance:very strong fan  Ok berat sikit tapi kipas paling kuat penah aku try
m*****i,2024-Mar-11 10:46:50,"Portability:mudah dibawa walaupun agak berat Performance:good..speed 1 pon dah laju..mmg terbaik…  Brand: SisuLife Product Model: Handheld Fan Ultral Product Name: Handheld Fan Ultral Input: 5.0V = 2.0A/9.OV = 2.0A/12.0V = 1.5A Battery Capacity: 9000mAh Product Size: 75×38×134 mm Manufacturer: Shenzhen Jisu Technology Co., Ltd Production Address: 301, Building A, No.8, Changjiangpu 2 Road, He'ao Community, Yuanshan Street, Longgang District, Shenzhen Tel: 400-011-8812 Web: www.jisulife.com Made in China"
78loops,2024-Jan-31 07:06:00,*seller shipout frm the date i brought👍🏻👍🏻👍🏻👍🏻👍🏻 *product quality are good(quite heavy)👍🏻👍🏻👍🏻👍🏻👍🏻 *fan speed:not in my imagine what im expected👍🏻👍🏻👍🏻 *fully charge and full power will stay around 1hour+- device a bit hot if keep using non stop
n*****5,2024-Mar-06 12:27:45,Portability:good Performance:very good  Item received  Box slightly dented  But content is intact  Very solid and a bit heavy  Wind power very strong
shahrul2811,2024-Feb-15 05:32:41,Portability:mudah dibawa & sedikit berat Performance:power angin  design terkini & nampak premium packaging pun baik
z*****8,2024-Feb-11 23:35:49,"Portability:good Performance:best  angin kuat, battery tahan. body tegap solid, warna grey nmpak exclusive. berpuas hati"
briabaconbolic,2024-Mar-10 06:27:02,"horrible customer service in chat support, not helpful in answering any form of questions at all, box for product also arrived dented and opened"
mohdzuhrie,2024-Jan-01 01:56:34,item padu. once received default battery charged at 55-50%. after charged at 60% the speed roller can be adjusted. overall: excellent...
w*****z,2024-Feb-16 11:12:35,"Looks & feel expensive. Quality build. Speed wise slower little bit than KICA 2, but jisulife is more aesthetic and quieter."
zhangreturn,2024-Mar-16 09:29:26,Portability:not bad . Can  bring out or traveling Performance:very strstroostrostrostrog wind like Dyson
vayannaanding,2024-Mar-12 11:29:38,"Ordered on 3.3 but only received my parcel today 😤 charging port looks rusty compared to normal USB-C ports but it still functions as intended. Wind is really strong at maximum, so you definitely can use it as a quick hairdryer lol. It’s 0.5kg so it does feel heavy in your hand but I don’t mind. 2 cables provided, USB-A to USB-C and USB-C to USB-C. Thanks for expediting the delivery the best you could."
zaidimendes,2024-Feb-12 07:49:16,"Portability:mudah nak bawa dan simpan dalam beg Performance:angin dia padu plus tak berat sangat  So far aku dah pakai dalam berapa hari ni, angin dia kuat macam kipas angin biasa cuma kelemahan dia. Kalau buka angin kuat, battery pun cepat drain hahaha so nasihat saya buka setakat 50 tu dah okey dah"
mcliong1,2024-Mar-10 12:10:25,Performance:okok Portability:good  The power is not what I expected... seeing the ads can blow things thats why I am buying.
sollehuddinsaree,2024-Feb-09 08:57:04,"Portability:very portable. berat sikit, rasa premium Performance:angin kuat  Bunyi bising sikit kalau atas 50% tapi tolerable."
fairull5186,2023-Oct-15 11:01:48,Performance:Very Giod Portability:Very Good  Terbaik
